kode_deskel,deskel,jumlah_kk,indikator_A,indikator_B,indikator_C,indikator_D,indikator_E,indikator_F,indikator_G,indikator_H,indikator_I,indikator_J,indikator_K,indikator_L,indikator_M,dimensi_A,dimensi_B,dimensi_C,dimensi_D,dimensi_E,iid_desa,ikd_desa,gini_iid_rumah_tangga,interpretasi_gini
64.02.02.2001,jonggon desa,915,0.820765,0.329366,0.045902,0.724863,0.370984,0.616134,0.039891,0.014208,0.431148,0.260109,0.581967,0.721858,0.291803,0.398678,0.724863,0.443552,0.531876,0.186339,0.494605,0.505395,0.176199,Sedang
64.02.02.2002,sungai payang,672,0.796131,0.311764,0.096726,0.742932,0.373735,0.619257,0.051339,0.014881,0.587798,0.267113,0.660714,0.798363,0.220238,0.40154,0.742932,0.446028,0.559772,0.230283,0.510306,0.489694,0.201487,Tinggi
64.02.02.2003,jembayan,1359,0.840324,0.32336,0.109639,0.776858,0.489698,0.595406,0.040103,0.012141,0.301325,0.160412,0.635762,0.758646,0.264901,0.424441,0.776858,0.516872,0.553103,0.128495,0.527169,0.472831,0.183255,Tinggi
64.02.02.2004,loa kulu kota,1776,0.898086,0.347653,0.203266,0.825732,0.594229,0.653178,0.017736,0.014921,0.376689,0.206363,0.728604,0.838682,0.472973,0.483002,0.825732,0.606911,0.680086,0.153927,0.599976,0.400024,0.140673,Rendah
64.02.02.2005,loh sumber,1094,0.844607,0.322784,0.162706,0.746801,0.5883,0.673397,0.039305,0.021938,0.400823,0.216636,0.642596,0.803931,0.502742,0.443366,0.746801,0.602537,0.649756,0.169676,0.564968,0.435032,0.169724,Sedang
64.02.02.2006,ponoragan,785,0.86879,0.33466,0.207643,0.771019,0.601146,0.653526,0.064331,0.051592,0.398089,0.194904,0.580255,0.780255,0.233121,0.470364,0.771019,0.59776,0.53121,0.177229,0.553863,0.446137,0.171658,Sedang
64.02.02.2007,rempanga,852,0.940141,0.363484,0.14554,0.784624,0.604988,0.648964,0.017606,0.006455,0.242958,0.160798,0.512911,0.65669,0.1473,0.483055,0.784624,0.610827,0.438967,0.106954,0.537574,0.462426,0.15659,Rendah
64.02.02.2008,margahayu,1106,0.812839,0.301623,0.094937,0.744349,0.431193,0.677785,0.104882,0.03255,0.485533,0.320976,0.506329,0.685353,0.334087,0.403133,0.744349,0.498621,0.50859,0.235986,0.511911,0.488089,0.203252,Tinggi
64.02.02.2009,jonggon jaya,803,0.787049,0.273411,0.082192,0.707036,0.399191,0.602372,0.057908,0.016189,0.613948,0.32254,0.629514,0.743462,0.181818,0.380884,0.707036,0.455147,0.518265,0.252646,0.491927,0.508073,0.200209,Tinggi
64.02.02.2010,lung anai,145,0.896552,0.414713,0.103448,0.746552,0.395517,0.693089,0.17931,0.144828,0.627586,0.624138,0.793103,0.872414,0.424138,0.471571,0.746552,0.470632,0.696552,0.393966,0.577364,0.422636,0.149698,Rendah
