kode_deskel,deskel,kategori_iid_rt,rentang_iid_rt,jumlah_kk,persentase_kk,total_kk_desa
64.02.02.2001,jonggon desa,sangat rendah,"0,00-0,20",78,0.085246,915
64.02.02.2001,jonggon desa,rendah,">0,20-0,40",106,0.115847,915
64.02.02.2001,jonggon desa,sedang,">0,40-0,60",499,0.545355,915
64.02.02.2001,jonggon desa,tinggi,">0,60-0,80",227,0.248087,915
64.02.02.2001,jonggon desa,sangat tinggi,">0,80-1,00",5,0.005464,915
64.02.02.2002,sungai payang,sangat rendah,"0,00-0,20",72,0.107143,672
64.02.02.2002,sungai payang,rendah,">0,20-0,40",69,0.102679,672
64.02.02.2002,sungai payang,sedang,">0,40-0,60",308,0.458333,672
64.02.02.2002,sungai payang,tinggi,">0,60-0,80",208,0.309524,672
64.02.02.2002,sungai payang,sangat tinggi,">0,80-1,00",15,0.022321,672
64.02.02.2003,jembayan,sangat rendah,"0,00-0,20",107,0.078734,1359
64.02.02.2003,jembayan,rendah,">0,20-0,40",133,0.097866,1359
64.02.02.2003,jembayan,sedang,">0,40-0,60",595,0.437822,1359
64.02.02.2003,jembayan,tinggi,">0,60-0,80",494,0.363503,1359
64.02.02.2003,jembayan,sangat tinggi,">0,80-1,00",30,0.022075,1359
64.02.02.2004,loa kulu kota,sangat rendah,"0,00-0,20",77,0.043356,1776
64.02.02.2004,loa kulu kota,rendah,">0,20-0,40",84,0.047297,1776
64.02.02.2004,loa kulu kota,sedang,">0,40-0,60",586,0.329955,1776
64.02.02.2004,loa kulu kota,tinggi,">0,60-0,80",928,0.522523,1776
64.02.02.2004,loa kulu kota,sangat tinggi,">0,80-1,00",101,0.056869,1776
64.02.02.2005,loh sumber,sangat rendah,"0,00-0,20",88,0.080439,1094
64.02.02.2005,loh sumber,rendah,">0,20-0,40",67,0.061243,1094
64.02.02.2005,loh sumber,sedang,">0,40-0,60",381,0.348263,1094
64.02.02.2005,loh sumber,tinggi,">0,60-0,80",508,0.464351,1094
64.02.02.2005,loh sumber,sangat tinggi,">0,80-1,00",50,0.045704,1094
64.02.02.2006,ponoragan,sangat rendah,"0,00-0,20",58,0.073885,785
64.02.02.2006,ponoragan,rendah,">0,20-0,40",58,0.073885,785
64.02.02.2006,ponoragan,sedang,">0,40-0,60",312,0.397452,785
64.02.02.2006,ponoragan,tinggi,">0,60-0,80",334,0.425478,785
64.02.02.2006,ponoragan,sangat tinggi,">0,80-1,00",23,0.029299,785
64.02.02.2007,rempanga,sangat rendah,"0,00-0,20",30,0.035211,852
64.02.02.2007,rempanga,rendah,">0,20-0,40",87,0.102113,852
64.02.02.2007,rempanga,sedang,">0,40-0,60",447,0.524648,852
64.02.02.2007,rempanga,tinggi,">0,60-0,80",252,0.295775,852
64.02.02.2007,rempanga,sangat tinggi,">0,80-1,00",36,0.042254,852
64.02.02.2008,margahayu,sangat rendah,"0,00-0,20",113,0.10217,1106
64.02.02.2008,margahayu,rendah,">0,20-0,40",128,0.115732,1106
64.02.02.2008,margahayu,sedang,">0,40-0,60",458,0.414105,1106
64.02.02.2008,margahayu,tinggi,">0,60-0,80",387,0.34991,1106
64.02.02.2008,margahayu,sangat tinggi,">0,80-1,00",20,0.018083,1106
64.02.02.2009,jonggon jaya,sangat rendah,"0,00-0,20",82,0.102117,803
64.02.02.2009,jonggon jaya,rendah,">0,20-0,40",106,0.132005,803
64.02.02.2009,jonggon jaya,sedang,">0,40-0,60",370,0.460772,803
64.02.02.2009,jonggon jaya,tinggi,">0,60-0,80",236,0.293898,803
64.02.02.2009,jonggon jaya,sangat tinggi,">0,80-1,00",9,0.011208,803
64.02.02.2010,lung anai,sangat rendah,"0,00-0,20",6,0.041379,145
64.02.02.2010,lung anai,rendah,">0,20-0,40",11,0.075862,145
64.02.02.2010,lung anai,sedang,">0,40-0,60",54,0.372414,145
64.02.02.2010,lung anai,tinggi,">0,60-0,80",65,0.448276,145
64.02.02.2010,lung anai,sangat tinggi,">0,80-1,00",9,0.062069,145
64.02.02.2011,jembayan tengah,sangat rendah,"0,00-0,20",44,0.08413,523
64.02.02.2011,jembayan tengah,rendah,">0,20-0,40",34,0.06501,523
64.02.02.2011,jembayan tengah,sedang,">0,40-0,60",239,0.456979,523
64.02.02.2011,jembayan tengah,tinggi,">0,60-0,80",199,0.380497,523
64.02.02.2011,jembayan tengah,sangat tinggi,">0,80-1,00",7,0.013384,523
64.02.02.2012,jembayan dalam,sangat rendah,"0,00-0,20",57,0.127517,447
64.02.02.2012,jembayan dalam,rendah,">0,20-0,40",45,0.100671,447
64.02.02.2012,jembayan dalam,sedang,">0,40-0,60",184,0.411633,447
64.02.02.2012,jembayan dalam,tinggi,">0,60-0,80",152,0.340045,447
64.02.02.2012,jembayan dalam,sangat tinggi,">0,80-1,00",9,0.020134,447
64.02.02.2013,sepakat,sangat rendah,"0,00-0,20",31,0.050736,611
64.02.02.2013,sepakat,rendah,">0,20-0,40",63,0.10311,611
64.02.02.2013,sepakat,sedang,">0,40-0,60",186,0.304419,611
64.02.02.2013,sepakat,tinggi,">0,60-0,80",300,0.490998,611
64.02.02.2013,sepakat,sangat tinggi,">0,80-1,00",31,0.050736,611
64.02.02.2014,sumber sari,sangat rendah,"0,00-0,20",99,0.09556,1036
64.02.02.2014,sumber sari,rendah,">0,20-0,40",123,0.118726,1036
64.02.02.2014,sumber sari,sedang,">0,40-0,60",500,0.482625,1036
64.02.02.2014,sumber sari,tinggi,">0,60-0,80",289,0.278958,1036
64.02.02.2014,sumber sari,sangat tinggi,">0,80-1,00",25,0.024131,1036
64.02.02.2015,jongkang,sangat rendah,"0,00-0,20",21,0.048611,432
64.02.02.2015,jongkang,rendah,">0,20-0,40",29,0.06713,432
64.02.02.2015,jongkang,sedang,">0,40-0,60",193,0.446759,432
64.02.02.2015,jongkang,tinggi,">0,60-0,80",175,0.405093,432
64.02.02.2015,jongkang,sangat tinggi,">0,80-1,00",14,0.032407,432
64.02.02.2016,jembayan ilir,sangat rendah,"0,00-0,20",61,0.052405,1164
64.02.02.2016,jembayan ilir,rendah,">0,20-0,40",112,0.09622,1164
64.02.02.2016,jembayan ilir,sedang,">0,40-0,60",538,0.462199,1164
64.02.02.2016,jembayan ilir,tinggi,">0,60-0,80",439,0.377148,1164
64.02.02.2016,jembayan ilir,sangat tinggi,">0,80-1,00",14,0.012027,1164
64.02.03.2001,bakungan,sangat rendah,"0,00-0,20",117,0.051204,2285
64.02.03.2001,bakungan,rendah,">0,20-0,40",225,0.098468,2285
64.02.03.2001,bakungan,sedang,">0,40-0,60",1016,0.444639,2285
64.02.03.2001,bakungan,tinggi,">0,60-0,80",880,0.38512,2285
64.02.03.2001,bakungan,sangat tinggi,">0,80-1,00",47,0.020569,2285
64.02.03.2002,loa duri ulu,sangat rendah,"0,00-0,20",83,0.039188,2118
64.02.03.2002,loa duri ulu,rendah,">0,20-0,40",166,0.078376,2118
64.02.03.2002,loa duri ulu,sedang,">0,40-0,60",1056,0.498584,2118
64.02.03.2002,loa duri ulu,tinggi,">0,60-0,80",786,0.371105,2118
64.02.03.2002,loa duri ulu,sangat tinggi,">0,80-1,00",27,0.012748,2118
64.02.03.2003,loa janan ulu,sangat rendah,"0,00-0,20",166,0.044444,3735
64.02.03.2003,loa janan ulu,rendah,">0,20-0,40",242,0.064793,3735
64.02.03.2003,loa janan ulu,sedang,">0,40-0,60",1610,0.431058,3735
64.02.03.2003,loa janan ulu,tinggi,">0,60-0,80",1642,0.439625,3735
64.02.03.2003,loa janan ulu,sangat tinggi,">0,80-1,00",75,0.02008,3735
